count,cite,rank,year
51,"Bourdieu P 1984 Distinction Social C",1,1984
49,"Raudenbush S 2002 Hierarchical Linear",2,2002
48,"Putnam R 2000 Bowling Alone Collap",3,2000
44,"Coleman J 1988 Am J Sociol",4,1988
40,"Goffman E 1959 Presentation Self EV",5,1959
40,"Strauss A 1967 Discovery Grounded T",5,1967
37,"Goffman E 1963 Stigma Notes Managem",7,1963
36,"Gottfredson M 1990 Gen Theory Crime",8,1990
36,"Mcpherson M 2001 Annu Rev Sociol",8,2001
35,"Granovetter M 1973 Am J Sociol",10,1973
34,"Wilson W 1987 Truly Disadvantaged",11,1987
34,"Coleman J 1990 Fdn Social Theory",11,1990
32,"Lareau A 2003 Unequal Childhoods C",13,2003
32,"Steensland B 2000 Soc Forces",13,2000
31,"Massey D 1993 Am Apartheid Segrega",15,1993
31,"Anderson E 1999 Code Streets Decency",15,1999
30,"Charmaz K 2006 Constructing Grounde",17,2006
29,"Dimaggio P 1983 Am Sociol Rev",18,1983
29,"Portes A 1998 Annu Rev Sociol",18,1998
28,"Swidler A 1986 Am Sociol Rev",20,1986
27,"West C 1987 Gender Soc",21,1987
25,"Blalock H 1967 Theory Minoritygroup",22,1967
25,"Hochschild A 1983 Managed Heart",22,1983
24,"Sampson R 1997 Science",24,1997
24,"Meyer J 1977 Am J Sociol",24,1977
24,"Bourdieu P 1977 Outline Theory Pract",24,1977
24,"Weber M 1978 EC Soc",24,1978
24,"Hirschi T 1969 Causes Delinquency",24,1969
24,"Giddens A 1991 Modernity Self Ident",24,1991
23,"Goffman E 1974 Frame Anal",30,1974
22,"Mclanahan S 1994 Growing Single Paren",31,1994
22,"Garfinkel H 1967 Studies Ethnomethodo",31,1967
22,"Long J 1997 Regression Models CA",31,1997
21,"Western B 2006 Punishment Inequalit",34,2006
21,"Garland D 2001 Culture Control",34,2001
21,"Collins R 2004 Interaction Ritual C",34,2004
21,"Mead G 1934 Mind Self Society ST",34,1934
21,"Smith C 1998 Am Evangelicalism EM",34,1998
21,"Allport G 1954 Nature Prejudice",34,1954
21,"Alba R 2003 Remaking Am Mainstre",34,2003
21,"Sampson R 1993 Crime Making",34,1993
21,"Portes A 1993 Ann Am Acad Polit SS",34,1993
20,"Bourdieu P 1992 Invitation Reflexive",43,1992
20,"Blau P 1977 Inequality Heterogen",43,1977
20,"Benford R 2000 Annu Rev Sociol",43,2000
19,"Esping-andersen G 1990 3 Worlds Welfare Cap",46,1990
19,"Portes A 2001 Legacies Story Immig",46,2001
19,"Connell R 1995 Masculinities",46,1995
18,"Wilson W 1996 Work Disappers World",49,1996
18,"Berger P 1966 Social Construction",49,1966
18,"Bourdieu P 1990 Logic Practice",49,1990
18,"Kefalas M 2005 Promises I Can Keep",49,2005
18,"Meyer J 1997 Am J Sociol",49,1997
18,"Snow D 1988 Int Social Movement",49,1988
18,"Blumer H 1969 Symbolic Interaction",49,1969
18,"Von H 2007 Sociol Methodol",49,2007
18,"Blau P 1967 Am Occupational Stru",49,1967
18,"Aiken L 1991 Multiple Regression",49,1991
17,"Strauss A 1998 Basics Qualitative R",59,1998
17,"Allison P 2002 Missing Data",59,2002
17,"Stark R 2000 Acts Faith",59,2000
17,"Shaw C 1942 Juvenile Delinquency",59,1942
17,"Snijders T 1999 Multilevel Anal",59,1999
17,"Giddens A 1984 Constitution Soc Out",59,1984
17,"Goffman E 1961 Asylums Essays Socia",59,1961
17,"Strauss A 1990 Basics Qualitative R",59,1990
17,"Lamont M 2002 Annu Rev Sociol",59,2002
17,"Lamont M 2000 Dignity Working Men",59,2000
17,"Foucault M 1977 Discipline Punish",59,1977
16,"Correll S 2007 Am J Sociol",70,2007
16,"Cohen L 1979 Am Sociol Rev",70,1979
16,"Snow D 1986 Am Sociol Rev",70,1986
16,"Rubin D 1987 Multiple Imputation",70,1987
16,"Becker G 1991 Treatise Family",70,1991
16,"Swidler A 2001 Talk Love Culture MA",70,2001
16,"Putnam R 1993 Making Democracy Wor",70,1993
16,"Royston P 2004 Stata J",70,2004
16,"Bellah R 1985 Habits Heart Individ",70,1985
16,"Pager D 2003 Am J Sociol",70,2003
15,"Emerson R 1995 Writing Ethnographic",80,1995
15,"Laub J 2003 Shared Beginnings DI",80,2003
15,"Gordon M 1964 Assimilation Am Life",80,1964
15,"Mcadam D 2001 Dynamics Contention",80,2001
15,"Moody J 2001 Am J Sociol",80,2001
15,"Wasserman S 1994 Social Network Anal",80,1994
15,"Bumpass L 2000 Pop Stud-j Demog",80,2000
15,"Blumer H 1958 Pac Sociol Rev",80,1958
15,"Connell R 1987 Gender Power",80,1987
15,"Becker G 1981 Treatise Famil",80,1981
15,"Sewell W 1992 Am J Sociol",80,1992
15,"Heckman J 1979 Econometrica",80,1979
15,"Gamson W 1992 Talking Politics",80,1992
15,"Blau P 1964 Exchange Power Socia",80,1964
15,"Sampson R 2002 Annu Rev Sociol",80,2002
14,"Idler E 1997 J Health Soc Behav",95,1997
14,"Berger P 1967 Sacred Canopy Elemen",95,1967
14,"Granovetter M 1985 Am J Sociol",95,1985
14,"Verba S 1995 Voice Equality",95,1995
14,"Reichman N 2001 Child Youth Serv Rev",95,2001
14,"Harvey D 2005 Brief Hist Neolibera",95,2005
14,"Link B 2001 Annu Rev Sociol",95,2001
14,"Wooldridge J 2002 Econometric Anal Cro",95,2002
14,"Mcadam D 1982 Political Process DE",95,1982
14,"Kalmijn M 1998 Annu Rev Sociol",95,1998
14,"Sampson R 1989 Am J Sociol",95,1989
14,"Radloff L 1977 Applied Psychological Measurement",95,1977
14,"Lamont M 1992 Money Morals Manners",95,1992
14,"Morgan S 2007 Anal Method Soc Res",95,2007
14,"Goffman E 1967 Interaction Ritual",95,1967
14,"Durkheim E 1951 Suicide Study Sociol",95,1951
14,"Vaisey S 2009 Am J Sociol",95,2009
14,"Singer J 2003 Appl Longitudinal DA",95,2003
14,"Tarrow S 1998 Power Movement",95,1998
14,"Hays S 1996 Cultural Contradicti",95,1996
14,"Osborne C 2007 J Marriage Fam",95,2007
14,"Baron R 1986 J Pers Soc Psychol",95,1986
13,"Omi M 1994 Racial Formation US",118,1994
13,"Hochschild A 1997 Time Bind When Work",118,1997
13,"Peterson R 1996 Am Sociol Rev",118,1996
13,"Cherlin A 2009 Marriage GO Round",118,2009
13,"Link B 1995 J Hlth Social Behav",118,1995
